<<<<<<< HEAD
school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;F;20;R;GT3;T;3;1;at_home;health;course;other;1;2;2;yes;yes;no;yes;yes;yes;no;yes;3;3;3;5;3;1;9;6;17;16
MS;F;22;R;GT3;T;3;0;services;services;course;mother;3;1;0;no;no;yes;yes;no;no;no;no;2;5;2;4;1;3;3;5;14;19
GP;F;19;U;LE3;T;3;2;at_home;services;course;other;2;2;0;yes;yes;no;yes;no;yes;yes;no;4;2;3;1;1;1;16;16;8;15
GP;F;18;U;GT3;T;1;4;services;other;other;father;1;2;0;yes;yes;yes;no;yes;yes;yes;yes;3;5;4;4;2;5;13;7;5;12
GP;M;15;R;GT3;A;3;1;services;teacher;other;other;2;3;1;yes;no;yes;no;yes;no;yes;no;1;2;4;5;2;4;23;11;8;10
MS;F;21;U;GT3;T;2;1;at_home;services;home;other;1;2;1;yes;yes;yes;yes;yes;no;no;no;5;2;4;3;2;5;17;17;17;15
GP;F;19;U;LE3;A;0;3;services;teacher;reputation;mother;1;2;0;yes;no;no;yes;no;yes;yes;yes;2;2;5;3;3;3;10;17;5;7
GP;M;21;U;LE3;A;3;4;services;at_home;course;mother;1;3;0;yes;yes;no;no;yes;no;no;yes;5;2;1;1;4;4;15;5;9;19
GP;M;15;R;LE3;T;0;4;health;teacher;course;other;1;4;1;yes;no;no;yes;no;yes;yes;no;3;2;3;3;4;3;0;6;9;5
MS;F;17;R;GT3;A;1;1;other;at_home;reputation;mother;4;3;2;no;yes;no;yes;yes;yes;yes;no;1;4;2;4;4;5;6;5;18;11
GP;F;15;U;GT3;A;0;0;other;health;reputation;mother;2;1;0;yes;yes;yes;no;no;yes;yes;no;4;5;4;1;3;3;9;12;15;5
GP;F;20;R;LE3;A;1;3;health;health;home;mother;2;3;2;no;no;no;yes;yes;no;no;yes;5;4;3;5;3;4;8;9;11;5
GP;F;15;U;GT3;A;2;4;at_home;other;reputation;other;1;1;1;no;no;yes;yes;yes;yes;no;yes;4;4;4;1;2;4;24;12;18;13
GP;F;15;U;GT3;T;1;1;teacher;services;course;mother;1;4;0;no;yes;no;no;no;no;yes;yes;1;1;4;1;1;3;2;7;12;17
MS;F;20;U;GT3;T;1;4;teacher;other;course;other;2;3;2;yes;yes;no;no;yes;yes;yes;no;5;1;2;2;5;4;21;17;8;14
GP;M;18;U;GT3;A;4;3;teacher;at_home;course;mother;4;3;2;yes;no;no;yes;yes;no;yes;no;4;1;5;2;5;4;22;16;11;11
MS;F;22;R;GT3;T;3;3;health;other;course;father;3;4;2;no;yes;yes;no;yes;no;yes;yes;4;3;1;1;1;3;13;11;8;17
MS;F;15;R;LE3;T;3;2;health;teacher;course;mother;3;1;1;yes;no;yes;yes;yes;yes;yes;no;5;1;5;3;2;5;24;12;7;15
MS;M;20;R;GT3;T;2;1;services;at_home;home;mother;2;3;1;no;yes;yes;yes;yes;no;yes;yes;1;5;3;2;1;4;14;19;19;17
GP;M;19;U;LE3;T;2;3;teacher;health;course;other;1;1;2;yes;no;yes;yes;yes;yes;yes;no;4;4;5;5;1;4;1;10;10;8
MS;M;17;R;GT3;T;3;2;at_home;services;home;other;1;3;2;yes;yes;yes;no;yes;yes;yes;yes;3;5;3;4;5;4;23;17;8;10
GP;M;17;U;LE3;A;4;2;at_home;at_home;course;mother;4;2;1;no;no;no;no;no;yes;yes;no;5;1;3;2;2;4;13;17;18;5
MS;F;15;R;GT3;T;3;4;teacher;at_home;other;father;3;3;2;no;no;yes;yes;no;yes;yes;no;2;3;1;1;3;3;15;11;7;11
